about_us,country,description,domain,is_public,name,twitterhandle,web_technologies,website,Company ID
985452954,Norway,"Softarch Technologies As delivers mobile apps, web and digital consulting to companies across the globe with focus on scandanevian countries such as Norway, sweden and Denmark. Softarch specialises in web development, mobility, e-commerce, digital strategy, data analytics and outsourcing. We have clients across four continents. We are located in Norway.",softarch.no,false,SOFTARCH TECHNOLOGIES AS,,microsoft_exchange_online,softarch.no,5584839113
914527260,Norway,"GoDigi AS delivers digital innovation. \r\nWe identify and whip out digital potential.\r\n\r\nDigital Product Development and Consultancy.\r\nWe facilitiate and manage the production of digital products for desktop, tablet and mobile. \r\nThe time to market is kept short by utilizing highly qualified and experienced freelance specialists. \r\n\r\nWe aspire to deliver quality and have fun.",godigi.no,false,GODIGI AS,,nginx,godigi.no,5584838620
981967070,Norway,En komplett plattformtjeneste for multicloud IT-miljøer Intility er en ende-til-ende plattformtjeneste som benyttes av mer enn 600 selskaper på tvers av,intility.no,false,INTILITY AS,intility,microsoft_exchange_online,intility.no,5584838619
990551561,Norway,"SIKKER DRIFT, SERVICE OG SUPPORT TJENESTER, First IT HAR SPISSKOMPETANSEN Your Content Goes Here On-site og Remote Your Content Goes Here Your Content Goes Here Din partner innenfor Drift, support og sikkerhet Av...",firstit.no,false,FIRST IT AS,_amyjojohnson,microsoft_exchange_online,firstit.no,5584829668
994956701,United States,"Desktop.com offers you the best digital workplace software for organizing and managing teams. Chat, video call, and collaborate across apps from one place today!",desktop.com,False,DESKTOP.COM AS,Desktop_dot_com,amazon_s3,desktop.com,5584829667
985095779,Norway,Vi skal forandre verden til det bedre gjennom å skape en mer bærekraftig og elektrisk fremtid.,zaptec.com,False,Zaptec AS,,,zaptec.com,5584807662
994297139,Norway,"Creating a new generation 3D modeling system, based on real volumes - changing what is made, who makes it and how it is produced.",uformia.no,,UFORMIA AS,Uformia,amazon_s3,uformia.no,5584807661
991721355,Norway,TheMOON offers complete flexibility to create and develop shops which incorporate new design and new solutions on an everyday basis. The size and shape can change as the concept changes. This high tech community provides the solution that matches your exact needs. TheMOON and its unique tools take retailers closer to consumers.,themoon.com,False,THEMOON AS,,microsoft_exchange_online,themoon.com,5584807660
915713769,United States,"Education has transformed. Has your classroom? At Zovio, we know there’s a smarter way to learn by using data, and we have over a decade of experience creating personalized educational opportunities. From finding and enrolling students to optimizing learning solutions, our approach is designed to deliver change that matters.",zovio.com,False,Zovio Inc,zovio,,zovio.com,5584807659
813285762,Norway,"En av Nordens største og mest anerkjente leverandører av lønnssystem, HR-system og outsourcing av lønnstjenester til større selskaper.",aditro.no,False,ADITRO BPO AS,aditroonline,youtube,aditro.no,5584798158
